t,v1,v2,v3,v4
0.0,0.581875,0.5845,0.5855,2.0005
0.043,0.585625,0.585625,0.581,1.474
0.085,0.583625,0.583625,0.582875,1.3555
0.126,0.584125,0.582875,0.5825,1.109125
0.168,0.583875,0.582625,0.582625,0.78025
0.209,0.58375,0.583,0.5835,1.1235
0.251,0.58375,0.58325,0.5845,1.749125
0.292,0.585,0.583125,0.583875,1.893875
0.334,0.584625,0.583625,0.583375,1.87375
0.375,0.584625,0.5835,0.58325,1.804125
0.417,0.58475,0.583625,0.583125,1.77525
0.458,0.584625,0.5835,0.583,1.78525
0.499,0.584625,0.5835,0.583,1.806625
0.542,0.5845,0.58375,0.58325,1.782125
0.586,0.584625,0.583,0.583375,1.773875
0.63,0.584625,0.582625,0.5835,1.740125
0.674,0.584875,0.583625,0.58275,1.716
0.718,0.58425,0.583625,0.5825,1.68575
0.762,0.58425,0.5835,0.582625,1.63125
0.806,0.584,0.58275,0.583375,1.691625
0.85,0.584625,0.582375,0.58325,1.38225
0.894,0.58375,0.583375,0.585375,2.838375
0.938,0.585,0.58275,0.581,1.480125
0.983,0.584125,0.5835,0.58275,1.359125
1.027,0.584125,0.582625,0.583125,1.18075
1.071,0.58425,0.582875,0.58275,0.8585
1.115,0.583875,0.583375,0.58275,1.071125
1.159,0.5835,0.584125,0.58375,1.696
1.203,0.583875,0.583375,0.5835,1.868125
1.247,0.584625,0.582875,0.5835,1.8455
1.291,0.585,0.583,0.5835,1.78325
1.335,0.5845,0.583625,0.582375,1.768875
1.379,0.583625,0.584,0.582625,1.7915
1.423,0.584125,0.58375,0.583625,1.7965
1.467,0.58425,0.583,0.583125,1.781125
1.511,0.585,0.583125,0.583125,1.74875
1.556,0.584375,0.583375,0.583,1.73175
1.6,0.583875,0.584,0.582875,1.716
1.644,0.58425,0.5835,0.58325,1.7125
1.688,0.584375,0.58275,0.583375,1.595625
1.732,0.58475,0.583,0.583375,1.585125
1.776,0.58425,0.583375,0.5825,1.678375
1.82,0.583875,0.58325,0.5815,1.2295
1.866,0.5855,0.585375,0.585875,1.79275
1.91,0.584,0.582625,0.58225,1.4185
1.955,0.5845,0.5835,0.5825,1.277125
1.999,0.583625,0.583375,0.58225,0.99675
2.043,0.5835,0.583375,0.582625,0.76975
2.087,0.583375,0.582375,0.584,1.404625
2.133,0.5845,0.583375,0.584375,1.825375
2.177,0.584,0.583375,0.58275,1.885375
2.221,0.58425,0.58375,0.583125,1.84075
2.266,0.58425,0.583125,0.583125,1.808
2.31,0.584625,0.583,0.583625,1.79775
2.354,0.585125,0.583125,0.583125,1.810625
2.398,0.584375,0.583625,0.582375,1.792
2.442,0.584375,0.583625,0.583,1.787625
2.486,0.5845,0.58275,0.58325,1.778375
2.53,0.5845,0.583,0.583375,1.747
2.577,0.584125,0.583375,0.5825,1.717375
2.621,0.584125,0.5835,0.582875,1.5745
2.666,0.58425,0.582875,0.5835,1.635625
2.71,0.584625,0.583,0.583375,1.678125
2.754,0.584125,0.58275,0.581125,1.617875
2.797,0.58575,0.586875,0.5845,1.71275
2.841,0.5845,0.58275,0.58225,1.41725
2.886,0.584125,0.5825,0.583,1.27025
2.93,0.584125,0.58275,0.5825,0.9375
2.974,0.584,0.583375,0.582,0.722
3.018,0.5835,0.5835,0.5835,1.452125
3.062,0.584,0.58375,0.58375,1.866375
3.107,0.58425,0.582875,0.584125,1.907125
3.151,0.585125,0.583,0.583375,1.83125
3.195,0.5845,0.5835,0.583,1.775375
3.239,0.583875,0.583875,0.58275,1.815875
3.283,0.58425,0.58375,0.583125,1.83075
3.327,0.58475,0.58275,0.58325,1.80325
3.371,0.585,0.583125,0.58325,1.7815
3.415,0.584375,0.583375,0.5825,1.73975
3.459,0.583625,0.58375,0.582625,1.68725
3.503,0.58375,0.583375,0.583375,1.656625
3.547,0.584125,0.58275,0.58325,1.719375
3.591,0.584875,0.58275,0.5815,0.918
3.636,0.585,0.5865,0.585875,1.87575
3.684,0.5845,0.583875,0.581625,1.452125
3.728,0.584,0.583,0.583,1.294375
3.771,0.584,0.583125,0.58225,0.962125
3.816,0.583375,0.5835,0.58175,0.7225
3.86,0.5835,0.58375,0.58375,1.463375
3.904,0.584,0.58375,0.58425,1.89225
3.948,0.584625,0.582875,0.584,1.93275
3.992,0.585,0.583625,0.58375,1.859125
4.036,0.58475,0.58375,0.582875,1.806125
4.08,0.583875,0.583875,0.583,1.823125
4.124,0.584375,0.583625,0.58325,1.82575
4.168,0.584875,0.58275,0.583875,1.809
4.212,0.584875,0.583125,0.58325,1.777875
4.256,0.58425,0.583625,0.582625,1.76875
4.3,0.583875,0.583875,0.58275,1.644375
4.345,0.584375,0.583,0.5835,1.709875
4.389,0.585,0.582875,0.583625,1.671125
4.433,0.584375,0.583,0.584625,2.7335
4.477,0.58725,0.584875,0.58175,1.537375
4.521,0.583875,0.583375,0.58275,1.4025
4.567,0.583875,0.582,0.58325,1.20125
4.611,0.584625,0.58275,0.582375,0.79475
4.655,0.5835,0.58325,0.58225,0.923125
4.699,0.583375,0.584125,0.584125,1.715875
4.743,0.58425,0.58375,0.583875,1.925375
4.787,0.585,0.58275,0.584,1.919
4.831,0.585125,0.583125,0.5835,1.845
4.875,0.584625,0.583625,0.582625,1.811625
4.919,0.584125,0.583875,0.583125,1.82725
4.963,0.584375,0.583375,0.583625,1.8245
5.007,0.584875,0.582875,0.5835,1.7945
5.051,0.585,0.5835,0.583625,1.77125
5.095,0.58425,0.5835,0.58275,1.75875
5.139,0.584,0.584125,0.582875,1.596125
5.184,0.583875,0.58325,0.583375,1.676875
5.227,0.584875,0.58275,0.5835,1.6855
5.271,0.58475,0.583,0.582375,2.38825
5.315,0.586375,0.5865,0.582625,1.51725
5.359,0.586,0.58275,0.58275,1.393
5.404,0.584,0.582875,0.582875,1.244375
5.448,0.58425,0.582625,0.5825,0.91625
