t,v1,v2,v3,v4
5.887,0.5865,0.58525,0.584875,1.919625
5.931,0.586125,0.58525,0.586125,2.81875
5.975,0.587,0.585125,0.583625,1.604
6.019,0.586,0.58525,0.584875,1.473875
6.062,0.586125,0.58525,0.5845,1.30275
6.106,0.586125,0.584875,0.585125,1.416375
6.15,0.58575,0.58525,0.58525,1.592
6.194,0.586,0.585375,0.584625,1.632375
6.238,0.586,0.585375,0.585125,1.683125
6.282,0.586375,0.58475,0.58525,1.68825
6.326,0.586125,0.585375,0.585125,1.736125
6.37,0.58625,0.585125,0.585,1.856875
6.414,0.585875,0.5855,0.586125,2.810125
6.458,0.586875,0.58475,0.583875,1.638375
6.502,0.58625,0.585375,0.584625,1.517875
6.549,0.585875,0.58525,0.584625,1.36475
6.593,0.586125,0.5855,0.585,1.499375
6.636,0.586125,0.585,0.58525,1.645875
6.68,0.58625,0.585125,0.585,1.715125
6.724,0.586,0.585125,0.58475,1.762625
6.768,0.586375,0.585625,0.585,1.758
6.812,0.58625,0.585125,0.585125,1.845875
6.856,0.5865,0.585375,0.585125,1.32725
6.9,0.58575,0.585875,0.58725,2.355625
6.944,0.58625,0.58525,0.58325,1.590125
6.988,0.58625,0.5855,0.584375,1.430125
7.032,0.586,0.58525,0.58425,1.236875
7.076,0.586125,0.5855,0.585,1.452375
7.12,0.586125,0.585125,0.585625,1.6595
7.163,0.586375,0.585,0.58525,1.703875
7.207,0.586125,0.5855,0.5845,1.695875
7.251,0.586125,0.5855,0.585,1.674875
7.295,0.586125,0.5855,0.585,1.770875
7.344,0.586,0.584625,0.5845,2.5125
7.392,0.587,0.58625,0.584375,1.495375
7.439,0.5865,0.584625,0.58475,1.324625
7.484,0.586125,0.585,0.58425,1.08675
7.527,0.585875,0.58525,0.5845,1.090625
7.571,0.58575,0.585875,0.585,1.4315
7.613,0.58575,0.585,0.58525,1.560625
7.656,0.58625,0.584875,0.58525,1.58825
7.699,0.586125,0.58525,0.585125,1.657625
7.74,0.586,0.58525,0.585125,1.671875
7.782,0.586375,0.58525,0.585,1.69
7.823,0.58625,0.584875,0.5855,2.95175
7.865,0.5885,0.587,0.585,1.523875
7.906,0.58725,0.584625,0.584375,1.373625
7.948,0.586375,0.585,0.5845,1.212375
7.989,0.58625,0.58525,0.5845,1.020625
8.031,0.585625,0.585625,0.58575,1.43425
8.072,0.586125,0.585375,0.58525,1.7065
8.113,0.5865,0.5855,0.585125,1.706375
8.155,0.586,0.5855,0.585,1.745125
8.196,0.586375,0.58525,0.58525,1.7305
8.241,0.58625,0.58525,0.585125,1.812625
8.284,0.58625,0.585125,0.584625,2.59375
8.328,0.588375,0.588625,0.58575,1.6015
