t,v
3.984,1.801375
3.995,1.802875
4.006,1.81275
4.018,1.824375
4.029,1.810125
4.04,1.82375
4.051,1.814625
4.063,1.82175
4.074,1.8125
4.085,1.834
4.096,1.818125
4.107,1.811
4.119,1.818
4.13,1.805875
4.141,1.8055
4.152,1.787125
4.163,1.79925
4.175,1.78025
4.186,1.7855
4.197,1.77775
4.208,1.77775
4.219,1.760625
4.23,1.7185
4.242,1.703625
4.253,1.637125
4.264,1.6545
4.275,1.714625
4.294,1.668375
4.305,1.715625
4.317,1.76375
4.329,1.7415
4.341,1.75525
4.353,1.73875
4.364,1.643875
4.376,1.006625
4.388,0.39975
4.399,1.1975
4.409,2.2155
4.42,2.49225
4.431,1.795125
4.443,1.6525
4.454,1.661
4.465,1.64925
4.476,1.60675
4.487,1.606625
4.498,1.56675
4.509,1.54325
4.52,1.52275
4.531,1.487625
4.542,1.47575
4.553,1.424375
4.564,1.388375
4.575,1.328125
4.586,1.2745
4.597,1.22475
4.608,1.16325
4.619,1.145125
4.63,1.137625
4.641,1.1445
4.652,1.189
4.663,1.3205
4.674,1.443875
4.685,1.585375
4.696,1.679
4.707,1.76775
4.718,1.820125
4.729,1.843375
4.74,1.857
4.751,1.839625
4.761,1.858625
4.773,1.8305
4.784,1.8345
4.795,1.815
4.805,1.818375
4.816,1.815125
4.827,1.80225
4.838,1.8005
4.849,1.79725
4.86,1.8
4.871,1.80375
4.882,1.8205
4.894,1.808375
4.905,1.841875
4.916,1.81425
4.927,1.817625
4.938,1.81925
4.949,1.823
4.96,1.82725
4.97,1.807625
4.982,1.8105
4.993,1.792125
5.004,1.802375
5.014,1.790125
5.026,1.7905
5.037,1.785875
5.047,1.787625
5.058,1.78375
