t,v1,v2,v3,v4
0.0,0.581875,0.58175,0.5815,1.313125
0.043,0.585125,0.58425,0.5835,1.072125
0.085,0.584625,0.58425,0.583875,1.187375
0.126,0.584875,0.584375,0.58475,1.72475
0.167,0.584875,0.584125,0.5845,1.86825
0.209,0.58475,0.58425,0.58425,1.826625
0.25,0.584875,0.584375,0.583625,1.79825
0.292,0.585,0.584125,0.584,1.80825
0.333,0.58525,0.584125,0.58375,1.809375
0.375,0.585,0.58425,0.58375,1.731875
0.416,0.58475,0.58425,0.584125,1.807
0.457,0.58475,0.584125,0.584,1.703375
0.499,0.584375,0.5835,0.585125,2.619
0.542,0.586625,0.584625,0.583,1.56975
0.583,0.5845,0.584125,0.583375,1.449875
0.625,0.58475,0.584,0.583625,1.31975
0.666,0.58475,0.584125,0.5835,1.117375
0.71,0.584375,0.584,0.584,1.10775
0.754,0.584875,0.58425,0.584875,1.6495
0.798,0.584875,0.584,0.58425,1.857625
0.842,0.584875,0.584125,0.58425,1.84475
0.885,0.584875,0.58425,0.5835,1.808
0.929,0.584875,0.584125,0.58375,1.846
0.973,0.584875,0.58425,0.58375,1.824875
1.017,0.584875,0.5845,0.58375,1.736125
1.062,0.5845,0.584125,0.584,1.79375
1.105,0.584875,0.584125,0.584,1.522625
1.149,0.58425,0.584125,0.5855,2.980625
1.194,0.585125,0.58375,0.5825,1.572625
1.237,0.58475,0.58425,0.5835,1.476125
1.282,0.584375,0.584125,0.5835,1.315875
1.326,0.5845,0.584125,0.583625,1.0825
1.37,0.58425,0.584,0.583625,1.293875
1.414,0.584375,0.584375,0.5845,1.751375
1.458,0.584875,0.584125,0.58425,1.8475
1.502,0.584875,0.584,0.58375,1.80325
1.546,0.584875,0.584125,0.583875,1.82
1.59,0.584875,0.58425,0.584,1.765125
1.634,0.584875,0.584,0.58375,1.84
1.678,0.584875,0.58425,0.583625,1.721625
1.722,0.584875,0.58425,0.585,1.934875
1.766,0.5865,0.585125,0.58325,0.75675
1.81,0.585375,0.587,0.591625,2.414
1.854,0.587125,0.58825,0.583625,1.61175
1.898,0.5845,0.58475,0.584,1.422
1.942,0.58525,0.584375,0.58375,1.185125
1.986,0.585125,0.58475,0.583875,1.031625
2.03,0.585,0.58475,0.584875,1.423375
2.074,0.5855,0.585,0.58525,1.78975
2.118,0.586,0.585125,0.584625,1.81425
2.162,0.585875,0.58475,0.58425,1.762125
2.206,0.585875,0.585,0.58475,1.79425
2.25,0.586,0.5855,0.585125,1.826
2.294,0.586,0.58525,0.58475,1.736375
2.338,0.58575,0.585125,0.58475,1.72875
2.382,0.58575,0.585125,0.584875,1.74925
2.426,0.585625,0.58375,0.583875,2.132875
2.47,0.589375,0.590375,0.58575,1.731125
2.514,0.58975,0.58325,0.584,1.429125
2.56,0.5855,0.584625,0.584375,1.270875
2.604,0.58525,0.58475,0.584,1.049875
2.648,0.585125,0.584875,0.58425,1.135875
2.692,0.58525,0.584875,0.585,1.607875
2.736,0.5855,0.585,0.585875,1.836625
2.78,0.58625,0.585125,0.58525,1.7935
2.824,0.58625,0.5855,0.585125,1.79225
2.868,0.586125,0.585625,0.58525,1.807625
2.912,0.586,0.5855,0.58525,1.808
2.956,0.58625,0.5855,0.584625,1.658125
3.0,0.585625,0.585,0.585125,1.75375
3.044,0.586,0.5855,0.584875,1.441375
3.088,0.585,0.584625,0.58775,2.948625
3.132,0.589625,0.586125,0.585875,1.619125
3.176,0.5855,0.584375,0.58425,1.38925
3.22,0.585375,0.584625,0.58375,1.2005
3.264,0.585125,0.58425,0.584125,0.993625
3.308,0.585,0.584875,0.584875,1.211375
3.352,0.585125,0.584625,0.585625,1.673625
3.396,0.586125,0.5855,0.585375,1.833375
3.44,0.586375,0.585375,0.585625,1.820875
3.484,0.586375,0.585375,0.5855,1.854125
3.528,0.586625,0.58575,0.585375,1.85025
3.572,0.586625,0.585875,0.5855,1.79625
3.616,0.586125,0.58525,0.58525,1.775
3.659,0.58675,0.585375,0.58525,1.72325
3.704,0.5855,0.584,0.583,1.464875
3.748,0.590125,0.592125,0.589375,1.90875
3.792,0.590875,0.583875,0.584,1.49475
3.836,0.585875,0.58475,0.584125,1.265625
3.879,0.585625,0.5845,0.583875,1.008625
3.924,0.58525,0.584875,0.58425,1.063
3.967,0.585375,0.585125,0.585625,1.615
4.011,0.586125,0.58575,0.58575,1.934
4.056,0.586625,0.585125,0.58525,1.69
4.099,0.586,0.584625,0.584625,1.65625
4.143,0.5855,0.5855,0.585,1.704375
4.187,0.586,0.585,0.585,1.726625
4.231,0.586125,0.585,0.585,1.712875
4.276,0.58625,0.58525,0.58475,1.711625
4.32,0.585875,0.58475,0.58275,1.2265
4.364,0.588,0.58675,0.586375,1.655375
4.407,0.585,0.58475,0.582125,1.31375
4.452,0.584125,0.584,0.58325,1.145
4.496,0.584625,0.584,0.5835,0.97575
4.542,0.58425,0.584,0.583125,0.973
4.586,0.584375,0.584125,0.58425,1.61075
4.63,0.5845,0.584125,0.584,1.7855
4.674,0.58475,0.58375,0.583375,1.68075
4.718,0.58475,0.584,0.584,1.7235
4.762,0.584625,0.584,0.583125,1.7115
4.806,0.584375,0.584,0.583625,1.79475
4.85,0.584625,0.584125,0.583625,1.8105
4.894,0.58475,0.584125,0.5835,1.81325
4.938,0.584875,0.583125,0.582375,1.72425
4.982,0.585375,0.586125,0.5845,1.737625
5.026,0.58675,0.58325,0.5835,1.63325
5.07,0.584875,0.583375,0.583125,1.434125
5.114,0.5845,0.58325,0.5825,1.163125
5.158,0.584375,0.584,0.5835,1.225
5.202,0.584375,0.584,0.584625,1.7855
5.246,0.58475,0.58375,0.584125,1.932125
5.29,0.58475,0.584,0.583375,1.9235
5.334,0.5845,0.584,0.583375,1.917125
5.377,0.5845,0.584,0.584,1.922625
5.422,0.584625,0.584125,0.583375,1.871375
5.466,0.58475,0.584,0.583375,1.8625
5.51,0.58475,0.584,0.583625,1.831875
5.554,0.58475,0.58275,0.58325,2.257
5.597,0.585875,0.584875,0.583125,1.6415
5.642,0.5855,0.583625,0.583375,1.53825
5.686,0.58425,0.58375,0.583125,1.415
5.729,0.5845,0.583875,0.583125,1.1485
5.774,0.584125,0.583875,0.5835,1.165
5.817,0.584625,0.584125,0.584625,1.72325
5.862,0.58475,0.584125,0.584125,1.885
5.905,0.58475,0.583875,0.5835,1.823625
5.949,0.585,0.584125,0.583875,1.800125
5.993,0.584625,0.584125,0.583875,1.826
6.037,0.585,0.583625,0.5835,1.7815
6.081,0.5845,0.584,0.583625,1.79825
6.125,0.58475,0.583625,0.583875,1.80775
6.169,0.584625,0.582875,0.582375,2.083125
6.213,0.586125,0.585125,0.583625,1.634
6.257,0.58475,0.5835,0.583375,1.55975
6.301,0.584375,0.583375,0.5835,1.416125
6.346,0.584375,0.5835,0.583125,1.181125
6.389,0.58425,0.58375,0.583,1.208
6.434,0.584375,0.58425,0.584125,1.65225
6.478,0.58475,0.583625,0.583875,1.849625
6.522,0.5845,0.5835,0.58325,1.786625
6.568,0.58475,0.583625,0.5835,1.766
6.612,0.58475,0.584125,0.583625,1.7905
6.656,0.584625,0.584,0.5835,1.7705
6.7,0.584625,0.583875,0.583375,1.71325
6.744,0.58475,0.584,0.583625,1.7635
6.788,0.58475,0.583875,0.58175,0.707875
6.833,0.58475,0.585625,0.585625,1.85575
6.877,0.584125,0.583375,0.582875,1.581625
6.92,0.58475,0.583875,0.5835,1.5415
6.964,0.584375,0.583375,0.58325,1.1915
