Time (s) Z (um)	Deflection (V)
0.15288	-0.8444	-0.855434
0.15364	-0.8457	-0.854823
0.1544	-0.847	-0.851161
0.15516	-0.8483	-0.856349
0.15592	-0.8496	-0.859401
0.15668	-0.8509	-0.860012
0.15744	-0.8522	-0.859096
0.1582	-0.8535	-0.854213
0.15896	-0.8548	-0.855129
0.15972	-0.8561	-0.852992
0.16048	-0.8574	-0.850246
0.16124	-0.8587	-0.852992
0.162	-0.86	-0.856655
0.16276	-0.8613	-0.855434
0.16352	-0.8626	-0.854518
0.16428	-0.8639	-0.856044
0.16504	-0.8652	-0.853908
0.1658	-0.8665	-0.850551
0.16656	-0.8678	-0.851161
0.16732	-0.8691	-0.850551
0.16808	-0.8704	-0.850246
0.16884	-0.8717	-0.850551
0.1696	-0.873	-0.856349
0.17036	-0.8743	-0.855739
0.17112	-0.8756	-0.84994
0.17188	-0.8769	-0.849635
0.17264	-0.8782	-0.855129
0.1734	-0.8795	-0.848109
0.17416	-0.8808	-0.847804
0.17492	-0.8821	-0.853908
0.17568	-0.8834	-0.856044
0.17644	-0.8847	-0.856655
0.1772	-0.886	-0.854823
0.17796	-0.8873	-0.852992
0.17872	-0.8886	-0.854213
0.17948	-0.8899	-0.853298
0.18024	-0.8912	-0.856044
0.181	-0.8925	-0.854213
0.18176	-0.8938	-0.851161
0.18252	-0.8951	-0.853603
0.18328	-0.8964	-0.853908
0.18404	-0.8977	-0.84994
0.1848	-0.899	-0.848415
0.18556	-0.9003	-0.846889
0.18632	-0.9016	-0.846583
0.18708	-0.9029	-0.84872
0.18784	-0.9042	-0.852992
0.1886	-0.9055	-0.853908
0.18936	-0.9068	-0.852382
0.19012	-0.9081	-0.853908
0.19088	-0.9094	-0.859706
0.19164	-0.9107	-0.859096
0.1924	-0.912	-0.858791
0.19316	-0.9133	-0.850246
0.19392	-0.9146	-0.850856
0.19468	-0.9159	-0.846889
0.19544	-0.9172	-0.852077
0.1962	-0.9185	-0.854823
0.19696	-0.9198	-0.855129
